rank,frequency_left_ghz,frequency_right_ghz,frequency_mid_ghz,target_magnitude_jump,target_phase_jump_deg,channel,channel_magnitude_jump,channel_phase_jump_deg
6,9.834,9.852,9.843,0.1979445791190263,12.309691254949982,SZmax_2__Zmin_2_,0.0027008043570551617,11.176221117854638
6,9.834,9.852,9.843,0.1979445791190263,12.309691254949982,SZmin_2__Zmin_1_,0.006544188767883103,14.420518621929723
7,8.304,8.322,8.312999999999999,0.1971115111480325,28.946910732418203,SZmax_1__Zmin_1_,0.0052610414247576676,2.2748617414632406
7,8.304,8.322,8.312999999999999,0.1971115111480325,28.946910732418203,SZmax_2__Zmax_1_,0.006228591533287347,28.798401364473918
7,8.304,8.322,8.312999999999999,0.1971115111480325,28.946910732418203,SZmax_2__Zmin_1_,0.1971115111480325,28.946910732418203
7,8.304,8.322,8.312999999999999,0.1971115111480325,28.946910732418203,SZmax_2__Zmin_2_,0.010194482679622058,28.95099442451992
7,8.304,8.322,8.312999999999999,0.1971115111480325,28.946910732418203,SZmin_2__Zmin_1_,0.006630580976231121,29.740203925570796
8,20.418,20.436,20.427,0.18567334774517824,1.40158186751637,SZmax_1__Zmin_1_,0.003914179655427022,12.234665117109785
8,20.418,20.436,20.427,0.18567334774517824,1.40158186751637,SZmax_2__Zmax_1_,0.006438495326974298,3.563570307265479
8,20.418,20.436,20.427,0.18567334774517824,1.40158186751637,SZmax_2__Zmin_1_,0.18567334774517824,1.40158186751637
8,20.418,20.436,20.427,0.18567334774517824,1.40158186751637,SZmax_2__Zmin_2_,0.009480192945580168,1.0484477300076378
8,20.418,20.436,20.427,0.18567334774517824,1.40158186751637,SZmin_2__Zmin_1_,0.005083932238226759,3.0530511728461533
9,21.75,21.768,21.759,0.17745944980210127,0.6589348041530911,SZmax_1__Zmin_1_,0.004936421795683883,9.597368260601911
9,21.75,21.768,21.759,0.17745944980210127,0.6589348041530911,SZmax_2__Zmax_1_,0.006772111936865754,1.8677837916645785
9,21.75,21.768,21.759,0.17745944980210127,0.6589348041530911,SZmax_2__Zmin_1_,0.17745944980210127,0.6589348041530911
9,21.75,21.768,21.759,0.17745944980210127,0.6589348041530911,SZmax_2__Zmin_2_,0.005832961281010997,3.5951859695910002
9,21.75,21.768,21.759,0.17745944980210127,0.6589348041530911,SZmin_2__Zmin_1_,0.006266138031146118,0.4160234164276062
10,22.272,22.29,22.281,0.17547700171936803,7.945745434852256,SZmax_1__Zmin_1_,0.00231435187985609,15.593797928123138
10,22.272,22.29,22.281,0.17547700171936803,7.945745434852256,SZmax_2__Zmax_1_,0.006661238694807194,7.6576301757071406
10,22.272,22.29,22.281,0.17547700171936803,7.945745434852256,SZmax_2__Zmin_1_,0.17547700171936803,7.945745434852256
10,22.272,22.29,22.281,0.17547700171936803,7.945745434852256,SZmax_2__Zmin_2_,0.0037409857150606796,3.4668511597268434
10,22.272,22.29,22.281,0.17547700171936803,7.945745434852256,SZmin_2__Zmin_1_,0.007499832959682363,7.41465998252238
11,10.734,10.751999999999999,10.742999999999999,0.1718033727812557,9.661450627038676,SZmax_1__Zmin_1_,0.009030511960936877,22.338768453576847
11,10.734,10.751999999999999,10.742999999999999,0.1718033727812557,9.661450627038676,SZmax_2__Zmax_1_,0.005070949058253641,9.392907450315164
11,10.734,10.751999999999999,10.742999999999999,0.1718033727812557,9.661450627038676,SZmax_2__Zmin_1_,0.1718033727812557,9.661450627038676
11,10.734,10.751999999999999,10.742999999999999,0.1718033727812557,9.661450627038676,SZmax_2__Zmin_2_,0.0005011290039389181,7.740792626238601
11,10.734,10.751999999999999,10.742999999999999,0.1718033727812557,9.661450627038676,SZmin_2__Zmin_1_,0.0060229062501851284,18.621943291417864
12,22.002,22.02,22.011,0.16618653215795073,14.564055427263838,SZmax_1__Zmin_1_,0.0007523082283393441,2.038807856995902
12,22.002,22.02,22.011,0.16618653215795073,14.564055427263838,SZmax_2__Zmax_1_,0.005655646221090211,18.892013719759802
12,22.002,22.02,22.011,0.16618653215795073,14.564055427263838,SZmax_2__Zmin_1_,0.16618653215795073,14.564055427263838
12,22.002,22.02,22.011,0.16618653215795073,14.564055427263838,SZmax_2__Zmin_2_,0.014486856972596142,5.326410426267728
12,22.002,22.02,22.011,0.16618653215795073,14.564055427263838,SZmin_2__Zmin_1_,0.0070581717752718365,15.246019515279158
13,14.783999999999999,14.802,14.793,0.1657581678312519,23.90925486446787,SZmax_1__Zmin_1_,0.01076216090276258,16.238020445139455
13,14.783999999999999,14.802,14.793,0.1657581678312519,23.90925486446787,SZmax_2__Zmax_1_,0.004393190266727235,23.282404513932647
13,14.783999999999999,14.802,14.793,0.1657581678312519,23.90925486446787,SZmax_2__Zmin_1_,0.1657581678312519,23.90925486446787
13,14.783999999999999,14.802,14.793,0.1657581678312519,23.90925486446787,SZmax_2__Zmin_2_,0.0008466737716213077,1.2925239611182917
